dataSource,dateOfReport,reportNo,pageRef,actionPlan,actionPlanName,actionPlanProgram,implementingAgency,agencyName,programName,programAcronym,programName2,assistanceType,asOfDate,targetBudget,expendedAmount,beneficiaryTargetTotal,beneficiaryTotal,beneficaryCategoryOrig,beneficiaryTypeOrig,region,province,cityMunicipality,dswd,lgu,ngos,others,grandTotal,notes,notes2,index,accounting,agency,agencyCode,aidCategory,aidCategoryCode,aidType,assistanceType,agencyAllocated,value,shareOfTotalBudget,date,beneficiaryTargetValue,beneficiaryValue,beneficiaryCategory,popOfBeneficiaryCategory,beneficiaryType,shareOfPop,link,infoText,saroAllotment
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION XII,,,51996791,0,0,0,51996791,,,214,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,0,0,5/18/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,BARMM,,,1554000,0,0,0,1554000,,,215,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,0,0,5/25/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,CALABARZON,,,282127654.2,45777294604,159628383.6,0,46219050643,,,216,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,20620620,0,5/25/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,CAR,,,244307362.9,1191744416,2564919,44899981,1483516679,,,217,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,3570868.06,0,5/25/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,CARAGA,,,39054718.5,3702803323,20759200,0,3762617241,,,218,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,2543357.7,0,5/25/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,MIMAROPA,,,48131427.5,870815039.5,0,0,918946467,,,219,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,953167,0,5/25/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,NCR,,,707892800.9,9297297058,2543287500,0,12548477361,,,220,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,2250610,0,5/25/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION I,,,135930177.4,4336254706,26070926.21,146521847.9,4644777657,,,221,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,1105689.95,0,5/25/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION II,,,93170161.84,2952360478,0,0,3045582146,,,222,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,1058172.36,0,5/25/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION III,,,134597131.7,5508181641,0,0,5642778772,,,223,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,2427353.74,0,5/25/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION IX,,,145382080,5467000,0,0,150849080,,,224,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,344240,0,5/25/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION V,,,225228440,2324384278,21538650,0,2571151368,,,225,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,7103020,0,5/25/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION VI,,,71959486,723993012.4,4222050,0,800174548.4,,,226,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,147340,0,5/25/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION VII,,,273564614.1,2612400000,0,0,2885964614,,,227,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,8630247.58,0,5/25/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION VIII,,,20225839.97,1067868249,0,13455890,1101549979,,,228,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,0,0,5/25/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION X,,,29372671.36,0,0,0,29372671.36,,,229,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,2008889.9,0,5/25/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION XI,,,240047030.6,1959216966,0,0,2199263997,,,230,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,2294930,0,5/25/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION XII,,,51996791,0,0,0,51996791,,,231,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,0,0,5/25/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,BARMM,,,1554000,0,0,0,1554000,,,232,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,0,0,6/1/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,CALABARZON,,,296132294.2,47717492389,159628383.6,0,48173253070,,,233,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,620100,0,6/1/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,CAR,,,267620916.1,1191744416,2564919,44899981,1506830232,,,234,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,4104889.37,0,6/1/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,CARAGA,,,71432512.8,3744853192,20759200,0,3837044904,,,235,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,6117576.3,0,6/1/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,MIMAROPA,,,50076243.5,870815039.5,0,0,920891283,,,236,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,188608,0,6/1/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,NCR,,,736242996.9,9297297058,2557870000,0,12591410057,,,237,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,4042000,0,6/1/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION I,,,147408103,4472452930,26070926.21,146521847.9,4792453806,,,238,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,1055866.18,0,6/1/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION II,,,98309138.08,2952360478,0,0,3050684332,,,239,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,437296.8,0,6/1/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION III,,,140461699.2,5608576627,0,0,5749038326,,,240,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,197000,0,6/1/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION IX,,,146414800,5467000,0,0,151881800,,,241,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,0,0,6/1/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION V,,,250182400,2345465818,21538650,0,2617186868,,,242,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,1426980,0,6/1/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION VI,,,78889076,781378266.4,4222050,0,864489392.4,,,243,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,1331850,0,6/1/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION VII,,,299873190.5,2612400000,0,0,2912273191,,,244,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,1500563.42,0,6/1/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION VIII,,,25031724.77,1067868249,0,13455890,1106355864,,,245,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,800980.8,0,6/1/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION X,,,44011856.26,0,0,0,44011856.26,,,246,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,1854910,0,6/1/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION XI,,,249187884.9,1959216966,0,0,2208404851,,,247,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,315367.8,0,6/1/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION XII,,,115491111,0,0,0,115491111,,,248,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,14693950,0,6/1/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,BARMM,,,1554000,0,0,0,1554000,,,249,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,0,0,6/8/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,CALABARZON,,,303829994.2,49538398998,159628383.6,0,50001857378,,,250,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,1065900,0,6/8/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,CAR,,,298573281.8,1235379511,2564919,57775801,1594293513,,,251,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,3272422.78,0,6/8/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,CARAGA,,,93375348,3944452923,20759200,0,4058587471,,,252,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,659340,0,6/8/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,MIMAROPA,,,68167317.5,870815039.5,0,0,938982357,,,253,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,2668500,0,6/8/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,NCR,,,754614496.9,9297297058,2557870000,0,12609781557,,,254,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,3666000,0,6/8/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION I,,,148837729.3,4585622055,26070926.21,146521847.9,4907052558,,,255,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,0,0,6/8/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION II,,,101703319.5,2952360478,0,0,3054063797,,,256,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,437585.66,0,6/8/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
DSWD Dromic Reports,,,0,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Food and Non-Food Items Distribution Program,FNFI,,foood packs and others,,,,,,LGUs,LGUs,REGION III,,,144934862,5725651117,0,0,5870585978,,,257,expenditure,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,1027012.6,0,6/8/20,0,0,LGUs,1488,local governments,0.942876344,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows.",0
